GeneName	MeanExpression
AL627309.1	0.0140420403392335
AL627309.5	0.0893373925808158
AL627309.4	0.00762716137328382
LINC01409	0.0415290450070809
FAM87B	0.000231126102220722
LINC01128	0.0313591202128103
LINC00115	0.0171033315643334
FAM41C	0
AL645608.6	0
AL645608.2	0
SAMD11	0
NOC2L	0.119409824400525
KLHL17	0.00762716137328382
PLEKHN1	0.00670265696440094
AL645608.7	0.000462252204441444
HES4	0.0472898197696217
ISG15	0.379930259342297
AL645608.1	0.000462252204441444
AGRN	0.00993842239549103
C1orf159	0.0750298468499657
AL390719.3	0.00647153086218021
TNFRSF18	0.000231126102220722
TNFRSF4	0.000462252204441444
SDF4	0.0954731542863525
B3GALT6	0.0235182105302831
C1QTNF12	0
AL162741.1	0
UBE2J2	0.120391733298756
LINC01786	0
SCNN1D	0
ACAP3	0.0655661596380361
PUSL1	0.0120185573154775
INTS11	0.0824251295279112
CPTP	0.013714988237529
DVL1	0.0188564143826155
AURKAIP1	0.11636666356152
CCNL2	0.194248195548081
MRPL20-AS1	0.0184334362814272
MRPL20	0.171998486707904
AL391244.2	0.000231126102220722
ATAD3C	0
ATAD3B	0.0290652369835805
ATAD3A	0.0239804627347246
SSU72	0.128428260904432
AL645728.1	0.0258513678627662
FNDC10	0.00914911808934512
AL691432.4	0
AL691432.2	0
MIB2	0.0387158813806203
MMP23B	0
CDK11B	0.273013525920035
FO704657.1	0
SLC35E2B	0.0541446783331781
CDK11A	0.385731499239746
SLC35E2A	0.062622314426137
NADK	0.353421816179346
GNB1	0.690038054165846
CFAP74	0
PRKCZ	0.0176441319752813
AL590822.2	0
FAAP20	0.08090317281185
AL590822.1	0.000462252204441444
SKI	0.111591563621392
MORN1	0.0114603791115523
RER1	0.140603914632923
PEX10	0.0270243761668472
PLCH2	0
PANK4	0.0211676754048227
AL139246.5	0.0207446973036344
TNFRSF14-AS1	0.0150624707476001
TNFRSF14	0.237390924733064
AL139246.3	0
PRXL2B	0.0101695484977118
MMEL1	0
TTC34	0.00693378306662166
MEGF6	0.0110940529065946
TPRG1L	0.0266580499618895
WRAP73	0.0447077822453817
LRRC47	0.0399500600982303
CEP104	0.107588013897873
DFFB	0.0250054116603898
C1orf174	0.0289300368808435
LINC01134	0.000231126102220722
AL365255.1	0.000231126102220722
NPHP4	0.0651435578334066
KCNAB2	0.431205658591421
RPL22	0.638941107286313
RNF207	0
ICMT	0.0131741878265811
GPR153	0
ACOT7	0.023675306943296
AL031848.2	0.000462252204441444
HES2	0
TNFRSF25	0.0121537574182145
NOL9	0.0834500784535764
TAS1R1	0.000693378306662166
ZBTB48	0.10425180395
KLHL21	0.0348260117461212
PHF13	0.00600927865773877
THAP3	0.0207446973036345
DNAJC11	0.116829668359079
AL591163.1	0
CAMTA1-DT	0.0280232865614967
CAMTA1	0.248686415326662
VAMP3	0.104962183753081
Z98884.2	0
PER3	0.0385636797814647
Z98884.1	0.0131741878265811
UTS2	0
TNFRSF9	0.0068378570671379
PARK7	0.156504000824519
AL034417.4	0.00231126102220722
AL034417.3	0.000231126102220722
ERRFI1	0.000231126102220722
AL034417.2	0
SLC45A1	0
RERE	0.865172664988549
RERE-AS1	0.0323621728281997
ENO1	0.434238229609208
ENO1-AS1	0
CA6	0.000462252204441444
SLC2A5	0
GPR157	0.0134272102390778
MIR34AHG	0.000462252204441444
H6PD	0.090270557727737
SPSB1	0.0220574242277509
SLC25A33	0.231328137093061
TMEM201	0.000231126102220722
PIK3CD	0.587581495833524
PIK3CD-AS1	0
PIK3CD-AS2	0.071605995344089
CLSTN1	0.138402511458653
CTNNBIP1	0.101182980876538
AL357140.4	0.000231126102220722
LZIC	0.0525271719141918
NMNAT1	0.0540846368093254
RBP7	0.0774407997958376
UBE4B	0.348334237365514
KIF1B	0.436294198764458
AL139424.3	0.000462252204441444
AL139424.2	0
PGD	0.247817014853796
CENPS	0.000231126102220722
DFFA	0.0728926837371899
PEX14	0.201987152568997
AL139423.2	0
CASZ1	0.0222666540196958
AL139423.1	0
C1orf127	0.000231126102220722
TARDBP	0.167428098042422
MASP2	0
AL109811.2	0.0146961445426425
SRM	0.0455756347580341
EXOSC10	0.0876103482935494
AL109811.1	0.0175308281828202
MTOR	0.169234443129312
MTOR-AS1	0.00554702645329733
ANGPTL7	0
UBIAD1	0.0290478591906031
AL031731.1	0
FBXO44	0.0113251790088154
FBXO6	0.0697524680090247
MAD2L2	0.024442714939166
DRAXIN	0
AGTRAP	0.197056408043784
C1orf167	0.000231126102220722
MTHFR	0.220732843876755
CLCN6	0.137779453233919
NPPA	0.0110940529065946
AL021155.5	0.120985419681754
KIAA2013	0.0649554717586201
PLOD1	0.0561507835639568
MFN2	0.109855482299528
MIIP	0.0852771909610663
TNFRSF8	0.0347697361464494
TNFRSF1B	0.878732476694455
VPS13D	0.485674848124084
DHRS3	0.0135975422243282
PRDM2	0.494839796046192
KAZN	0.0172385316670704
TMEM51-AS1	0
TMEM51	0.0771440046704818
C1orf195	0
FHAD1	0.015603271158548
AL031283.1	0
EFHD2	0.448219928352622
CTRC	0.000693378306662166
CELA2B	0
CASP9	0.101133484532111
DNAJC16	0.0844535073655245
AGMAT	0.00716490916884238
DDI2	0.133191630458558
PLEKHM2	0.299210096178293
AL450998.3	0.0117874312132568
SLC25A34	0.00439139594219372
FBLIM1	0.00808941357772526
UQCRHL	0
AL450998.2	0.096768203345526
SPEN	0.377014994891755
ZBTB17	0.0775148294850455
ARHGEF19	0.00878279188438743
AL109627.1	0
CPLANE2	0
FBXO42	0.314916125949877
SZRD1	0.191554359417616
