GeneName	CoefficientOfVariation
AL627309.1	7.11611081148471
AL627309.5	2.71790239697943
AL627309.4	9.4820233843385
LINC01409	4.21084512834599
FAM87B	54.7631262803707
LINC01128	4.72433008800735
LINC00115	6.28810078579728
FAM41C	0
AL645608.6	0
AL645608.2	0
SAMD11	0
NOC2L	2.32738483215521
KLHL17	9.48202338433848
PLEKHN1	10.1216576610889
AL645608.7	38.7169192113989
HES4	4.00969294006261
ISG15	1.39011188045225
AL645608.1	38.7169192114006
AGRN	8.2925940490217
C1orf159	3.15490263048288
AL390719.3	10.3025499513403
TNFRSF18	54.7631262803718
TNFRSF4	38.7169192114009
SDF4	2.68054024825731
B3GALT6	5.41185541754003
C1QTNF12	0
AL162741.1	0
UBE2J2	2.33729642420336
LINC01786	0
SCNN1D	0
ACAP3	3.25808629859804
PUSL1	7.52940771582586
INTS11	2.82110527614964
CPTP	7.26054690045487
DVL1	6.01573182644977
AURKAIP1	2.38726008695716
CCNL2	1.74350065088685
MRPL20-AS1	6.15846915889438
MRPL20	1.93216369838093
AL391244.2	54.7631262803718
ATAD3C	0
ATAD3B	4.83562232939684
ATAD3A	5.35622035183449
SSU72	2.24806305985055
AL645728.1	5.29572483727119
FNDC10	8.74991817815121
AL691432.4	0
AL691432.2	0
MIB2	4.20923494008356
MMP23B	0
CDK11B	1.49840596154841
FO704657.1	0
SLC35E2B	3.53277438472632
CDK11A	1.19002151422758
SLC35E2A	3.28601413255772
NADK	1.25614122808423
GNB1	0.822865955775958
CFAP74	0
PRKCZ	6.34087635010459
AL590822.2	0
FAAP20	2.85725723460724
AL590822.1	38.7169192114004
SKI	2.51472669958927
MORN1	7.78672988611225
RER1	2.13021896863754
PEX10	5.06699385898369
PLCH2	0
PANK4	5.66460443588972
AL139246.5	5.84847158576834
TNFRSF14-AS1	6.80756727174329
TNFRSF14	1.57613553669104
AL139246.3	0
PRXL2B	8.19643167524296
MMEL1	0
TTC34	9.94985816797456
MEGF6	7.8421727469737
TPRG1L	5.08390349355256
WRAP73	3.97587099936549
LRRC47	4.15773448098128
CEP104	2.52492549050648
DFFB	5.48229847669686
C1orf174	4.82930067472733
LINC01134	54.7631262803719
AL365255.1	54.7631262803701
NPHP4	3.32983200231331
KCNAB2	1.15173965211889
RPL22	0.89248035162076
RNF207	0
ICMT	7.18548893559242
GPR153	0
ACOT7	5.63687307923147
AL031848.2	38.7169192113997
HES2	0
TNFRSF25	7.55354756806998
NOL9	2.89807503518949
TAS1R1	31.6069577408127
ZBTB48	2.54448182902551
KLHL21	4.45976480423102
PHF13	10.6950593573847
THAP3	5.78444705649663
DNAJC11	2.49144977136614
AL591163.1	0
CAMTA1-DT	5.07179843874182
CAMTA1	1.62175130275087
VAMP3	2.48378650695621
Z98884.2	0
PER3	4.44471242545427
Z98884.1	7.18548893559243
UTS2	0
TNFRSF9	10.1774428039799
PARK7	2.03047917193264
AL034417.4	17.2916077852774
AL034417.3	54.7631262803705
ERRFI1	54.7631262803713
AL034417.2	0
SLC45A1	0
RERE	0.706185240230488
RERE-AS1	4.70400785295282
ENO1	1.1177420357846
ENO1-AS1	0
CA6	38.7169192114005
SLC2A5	0
GPR157	7.69584764119714
MIR34AHG	38.716919211399
H6PD	2.75752168484849
SPSB1	5.92551065601202
SLC25A33	1.73121584929776
TMEM201	54.7631262803705
PIK3CD	0.965386699195841
PIK3CD-AS1	0
PIK3CD-AS2	3.2170946943186
CLSTN1	2.22963395327962
CTNNBIP1	2.70144491718397
AL357140.4	54.7631262803702
LZIC	3.77135693643065
NMNAT1	3.76840910131156
RBP7	3.00093091858685
UBE4B	1.35608115828993
KIF1B	1.17645681787944
AL139424.3	38.7169192114004
AL139424.2	0
PGD	1.62037355585789
CENPS	54.7631262803707
DFFA	3.18656076908991
PEX14	1.88223834800416
AL139423.2	0
CASZ1	5.59804859937149
AL139423.1	0
C1orf127	54.7631262803712
TARDBP	1.95075952587535
MASP2	0
AL109811.2	6.84606401849076
SRM	3.90062956541915
EXOSC10	2.77387916636119
AL109811.1	6.66551779324609
MTOR	1.97247928946645
MTOR-AS1	11.135514372603
ANGPTL7	0
UBIAD1	4.92733227693058
AL031731.1	0
FBXO44	7.76042286524844
FBXO6	3.17712828005565
MAD2L2	5.40242452509892
DRAXIN	0
AGTRAP	1.77227374884126
C1orf167	54.7631262803707
MTHFR	1.69914646917283
CLCN6	2.20452399067402
NPPA	7.8421727469736
AL021155.5	2.39332214586775
KIAA2013	3.26671765790495
PLOD1	3.51462934325017
MFN2	2.46361784389775
MIIP	2.80272725110346
TNFRSF8	4.7131697441043
TNFRSF1B	0.696226201869233
VPS13D	1.08727180844477
DHRS3	7.58120688888842
PRDM2	1.05477253095311
KAZN	6.38755212447772
TMEM51-AS1	0
TMEM51	3.17167254162768
C1orf195	0
FHAD1	6.9581535785325
AL031283.1	0
EFHD2	1.08517132041753
CTRC	31.6069577408128
CELA2B	0
CASP9	2.57951453133096
DNAJC16	2.95434054588717
AGMAT	9.78641255785553
DDI2	2.29783121767414
PLEKHM2	1.43533802517064
AL450998.3	7.60415691555412
SLC25A34	12.525750310539
FBLIM1	9.2040187792478
UQCRHL	0
AL450998.2	2.73631805317691
SPEN	1.23033645538538
ZBTB17	2.95700110655868
ARHGEF19	8.82876229395338
AL109627.1	0
CPLANE2	0
FBXO42	1.41850081207634
SZRD1	1.84912429283845
SPATA21	4.64435878201619
NECAP2	2.0807654274186
LINC01772	8.10347706378662
AL137802.2	0
NBPF1	4.80099346047193
CROCC	1.18538603368649
BX284668.5	6.93597600344908
BX284668.6	0
AL049569.1	7.70667406767601
ATP13A2	4.14503331898699
SDHB	2.02597521653307
PADI2	3.4177878272866
PADI4	2.12660019557067
PADI6	0
RCC2	1.67194811848545
ARHGEF10L	1.27226021979258
LINC02810	0
PAX7	0
ALDH4A1	7.02375247733671
IFFO2	1.85371533953588
UBR4	1.39298064248597
EMC1-AS1	2.47117839828828
EMC1	3.66930187434796
MRTO4	4.52670506028094
AKR7A2	4.89613141997573
SLC66A1	5.33681135871928
CAPZB	0.72525344148643
MICOS10	2.01916414009229
AL031727.2	7.60415691555424
TMCO4	2.31508897440091
OTUD3	5.4265920584326
PLA2G2C	54.7631262803713
VWA5B1	0
CAMK2N1	54.7631262803715
MUL1	5.72653210431922
CDA	1.96177520961437
PINK1	5.13851632793217
PINK1-AS	10.4933688541535
DDOST	2.72666266746455
KIF17	0
HP1BP3	1.25525991941719
EIF4G3	0.77070677802629
ECE1	1.99900730755282
AL031728.1	0
NBPF3	6.67673805440231
ALPL	0
RAP1GAP	0
USP48	1.29340567200051
HSPG2	0
LINC01635	0
LINC00339	6.94118143987583
CDC42	0.93539964283448
CDC42-AS1	6.80756727174333
CDC42-IT1	3.66930187434794
WNT4	0
ZBTB40	2.38236058644088
C1QA	31.6069577408126
C1QB	31.6069577408127
EPHB2	3.05996361584207
TEX46	0
KDM1A	2.43770791426756
AL031428.1	3.21922973792346
LUZP1	2.22931022841063
LINC01355	38.7169192113996
AL109936.6	0
HNRNPR	1.60975939071294
ZNF436	54.7631262803722
ZNF436-AS1	54.7631262803701
TCEA3	0
ASAP3	54.763126280372
E2F2	8.8287622939535
ID3	10.1216576610889
MDS2	9.02295734946894
RPL11	0.535936591826461
ELOA-AS1	3.41145568307486
ELOA	2.84486601233915
PITHD1	2.75671680168002
LYPLA2	3.28466377494305
GALE	5.93620693082419
HMGCL	2.82688613768945
FUCA1	4.62292450863679
CNR2	9.24670049823496
PNRC2	2.18465151731988
SRSF10	1.26053243520324
IFNLR1	39.6965183000565
STPG1	9.07375385620895
NIPAL3	3.19023250495192
RCAN3AS	5.71605213179168
RCAN3	3.14332219815065
NCMAP-DT	0
SRRM1	1.14099125254687
CLIC4	1.96797654449908
RUNX3	1.82482653621069
SYF2	1.48434534179403
AL031432.4	10.5550882798694
RSRP1	0.77843602299821
AL031432.3	0
RHD	6.19872432567275
TMEM50A	1.81761938869649
RHCE	0
MACO1	2.13335311109005
LDLRAP1	3.90906891289149
AL606491.1	38.7169192113985
MAN1C1	2.57008971244317
AL031280.1	7.08434481607047
SELENON	3.80346164287473
AL020996.1	0
MTFR1L	4.75288818038517
AUNIP	38.7169192114002
AL033528.2	6.96033225732451
PAQR7	7.52940771582597
STMN1	7.45677184327821
PAFAH2	4.71944100115105
PDIK1L	5.87022249582743
ZNF593	4.38814781056374
CNKSR1	54.7631262803723
