GeneName	VarianceExpression
AL627309.1	0.00998494868248498
AL627309.5	0.0589568483105447
AL627309.4	0.00523031583090395
LINC01409	0.0305803481861925
FAM87B	0.000160204406108094
LINC01128	0.0219486699570704
LINC00115	0.0115664588732813
FAM41C	0
AL645608.6	0
AL645608.2	0
SAMD11	0
NOC2L	0.0772354210870677
KLHL17	0.00523031583090392
PLEKHN1	0.00460253685726824
AL645608.7	0.000320301938029309
HES4	0.0359548556440696
ISG15	0.278937740211138
AL645608.1	0.000320301938029336
AGRN	0.00679228207191079
C1orf159	0.0560325052288313
AL390719.3	0.00444532492839274
TNFRSF18	0.0001602044061081
TNFRSF4	0.000320301938029342
SDF4	0.0654948583975397
B3GALT6	0.0161994742024989
C1QTNF12	0
AL162741.1	0
UBE2J2	0.0791809892836724
LINC01786	0
SCNN1D	0
ACAP3	0.0456335925688681
PUSL1	0.00818891394584079
INTS11	0.054070185924375
CPTP	0.00991584088550763
DVL1	0.0128675292023091
AURKAIP1	0.0771714462130149
CCNL2	0.114698625620894
MRPL20-AS1	0.0128871874577881
MRPL20	0.1104427185703
AL391244.2	0.000160204406108101
ATAD3C	0
ATAD3B	0.0197538833728504
ATAD3A	0.0164980261988058
SSU72	0.0833562525884959
AL645728.1	0.0187420839147325
FNDC10	0.00640864846918914
AL691432.4	0
AL691432.2	0
MIB2	0.0265573437284921
MMP23B	0
CDK11B	0.167350614805468
FO704657.1	0
SLC35E2B	0.0365883952087279
CDK11A	0.210707423448542
SLC35E2A	0.0423445071780163
NADK	0.197089572949871
GNB1	0.322406859434584
CFAP74	0
PRKCZ	0.0125169686302319
AL590822.2	0
FAAP20	0.0534354892061788
AL590822.1	0.000320301938029333
SKI	0.078748866551055
MORN1	0.00796357708506856
RER1	0.0897105087767318
PEX10	0.0187504679507789
PLCH2	0
PANK4	0.0143775706597066
AL139246.5	0.0147197004793623
TNFRSF14-AS1	0.0105142019971682
TNFRSF14	0.139995909561973
AL139246.3	0
PRXL2B	0.00694789088798385
MMEL1	0
TTC34	0.00475964191195709
MEGF6	0.00756925741040758
TPRG1L	0.0183675550796028
WRAP73	0.0315959067738307
LRRC47	0.0275897888242253
CEP104	0.0737946563072744
DFFB	0.0187928812815328
C1orf174	0.0195194000883578
LINC01134	0.000160204406108101
AL365255.1	0.000160204406108091
NPHP4	0.04705302984212
KCNAB2	0.246647967305906
RPL22	0.325176376619314
RNF207	0
ICMT	0.00896107994592839
GPR153	0
ACOT7	0.0178101570458304
AL031848.2	0.000320301938029323
HES2	0
TNFRSF25	0.00842797162318791
NOL9	0.0584888052532054
TAS1R1	0.000480292595763714
ZBTB48	0.0703664862141058
KLHL21	0.0241230043948898
PHF13	0.00413058044808028
THAP3	0.0143991847929591
DNAJC11	0.0847248014664508
AL591163.1	0
CAMTA1-DT	0.0202004994350444
CAMTA1	0.162656954101502
VAMP3	0.0679663961196211
Z98884.2	0
PER3	0.0293794912033114
Z98884.1	0.00896107994592842
UTS2	0
TNFRSF9	0.0048430324346229
PARK7	0.100982929736326
AL034417.4	0.00159723472267219
AL034417.3	0.000160204406108093
ERRFI1	0.000160204406108098
AL034417.2	0
SLC45A1	0
RERE	0.373286987951512
RERE-AS1	0.0231745559818542
ENO1	0.23558046728791
ENO1-AS1	0
CA6	0.000320301938029336
SLC2A5	0
GPR157	0.0106778668333026
MIR34AHG	0.000320301938029311
H6PD	0.0619626701037791
SPSB1	0.017082882704971
SLC25A33	0.160383379240186
TMEM201	0.000160204406108093
PIK3CD	0.321765030339097
PIK3CD-AS1	0
PIK3CD-AS2	0.0530672351067448
CLSTN1	0.0952258987778258
CTNNBIP1	0.0747148919390184
AL357140.4	0.000160204406108091
LZIC	0.0392431005477538
NMNAT1	0.0415397542930453
RBP7	0.0540071991996135
UBE4B	0.223132940825612
KIF1B	0.263457677261978
AL139424.3	0.000320301938029335
AL139424.2	0
PGD	0.161247331612694
CENPS	0.000160204406108094
DFFA	0.0539525890970411
PEX14	0.144542888251451
AL139423.2	0
CASZ1	0.0155375754690041
AL139423.1	0
C1orf127	0.000160204406108097
TARDBP	0.106675370556911
MASP2	0
AL109811.2	0.0101225222839058
SRM	0.0316034771763691
EXOSC10	0.0590589730871802
AL109811.1	0.0136544009308413
MTOR	0.111430073560572
MTOR-AS1	0.00381540847102011
ANGPTL7	0
UBIAD1	0.0204857543918323
AL031731.1	0
FBXO44	0.0077243318555454
FBXO6	0.0491121173157735
MAD2L2	0.0174371820711717
DRAXIN	0
AGTRAP	0.121967110109772
C1orf167	0.000160204406108094
MTHFR	0.140668077526218
CLCN6	0.0922568395126151
NPPA	0.00756925741040739
AL021155.5	0.0838433050401987
KIAA2013	0.0450250996585917
PLOD1	0.0389467034095322
MFN2	0.0732470523488384
MIIP	0.0571251620237883
TNFRSF8	0.0268552346987695
TNFRSF1B	0.374295048824594
VPS13D	0.278847966049206
DHRS3	0.0106266781996465
PRDM2	0.272424937952843
KAZN	0.0121246568544166
TMEM51-AS1	0
TMEM51	0.0598661107550214
C1orf195	0
FHAD1	0.0117874355735487
AL031283.1	0
EFHD2	0.236580496316453
CTRC	0.000480292595763716
CELA2B	0
CASP9	0.0680559184742086
DNAJC16	0.0622524561246682
AGMAT	0.00491664009246014
DDI2	0.0936677571693616
PLEKHM2	0.184442443980665
AL450998.3	0.00803416012326263
SLC25A34	0.00302560823010039
FBLIM1	0.00554356407260002
UQCRHL	0
AL450998.2	0.0701129930452247
SPEN	0.215161732326694
ZBTB17	0.0525378826508098
ARHGEF19	0.00601263487874319
AL109627.1	0
CPLANE2	0
FBXO42	0.199548734482734
SZRD1	0.125463179322843
SPATA21	0.0233765512081346
NECAP2	0.0959009729797657
LINC01772	0.00710339282987038
AL137802.2	0
NBPF1	0.0224467532162706
CROCC	0.254558826413289
BX284668.5	0.0104457618906493
BX284668.6	0
AL049569.1	0.0081184821386283
ATP13A2	0.0274993083827393
SDHB	0.121623544373193
PADI2	0.0503511279335136
PADI4	0.164867112724896
PADI6	0
RCC2	0.140648710941568
ARHGEF10L	0.195993330855279
LINC02810	0
PAX7	0
ALDH4A1	0.0107689984114517
IFFO2	0.165040009903996
UBR4	0.172217894055411
EMC1-AS1	0.085985732894417
EMC1	0.0358271529124636
MRTO4	0.0243880117020283
AKR7A2	0.0210119664939254
SLC66A1	0.0168829014650654
CAPZB	0.304637020244624
MICOS10	0.107874293074337
AL031727.2	0.00803416012326288
TMCO4	0.100198234251657
OTUD3	0.0177635627678146
PLA2G2C	0.000160204406108097
VWA5B1	0
CAMK2N1	0.000160204406108099
MUL1	0.014936874075228
CDA	0.137756958291916
PINK1	0.0183067022201129
PINK1-AS	0.00428800612532965
DDOST	0.0603729179897244
KIF17	0
HP1BP3	0.200281539812586
EIF4G3	0.42716514182906
ECE1	0.12725288882809
AL031728.1	0
NBPF3	0.0114496566260035
ALPL	0
RAP1GAP	0
USP48	0.210292795708371
HSPG2	0
LINC01635	0
LINC00339	0.00957688901063477
CDC42	0.26288229777141
CDC42-AS1	0.0105142019971684
CDC42-IT1	0.0358271529124631
WNT4	0
ZBTB40	0.0835439228625292
C1QA	0.000480292595763712
C1QB	0.000480292595763714
EPHB2	0.0690650602486353
TEX46	0
KDM1A	0.0790981311586968
AL031428.1	0.0507066544003286
LUZP1	0.104457199784663
LINC01355	0.000320301938029321
AL109936.6	0
HNRNPR	0.14653354818908
ZNF436	0.000160204406108103
