PeakName	Sequence_Length
chr1-10109-10357	249
chr1-180730-181630	901
chr1-191491-191736	246
chr1-267816-268196	381
chr1-586028-586373	346
chr1-629721-630172	452
chr1-633793-634264	472
chr1-777634-779926	2293
chr1-816881-817647	767
chr1-819912-823500	3589
chr1-825827-825889	63
chr1-826612-827979	1368
chr1-841243-843059	1817
chr1-843966-845044	1079
chr1-857960-858997	1038
chr1-865576-866044	469
chr1-869449-870383	935
chr1-897294-897639	346
chr1-898356-899127	772
chr1-903617-907386	3770
chr1-910105-910710	606
chr1-912809-913217	409
chr1-920493-926443	5951
chr1-935538-935928	391
chr1-936873-937264	392
chr1-938017-943653	5637
chr1-955330-955923	594
chr1-958518-963388	4871
chr1-965294-968061	2768
chr1-972924-973923	1000
chr1-975429-976827	1399
chr1-978637-978690	54
chr1-983870-984728	859
chr1-993421-994016	596
chr1-994735-1006799	12065
chr1-1008916-1009757	842
chr1-1011497-1011703	207
chr1-1012606-1015854	3249
chr1-1016432-1028059	11628
chr1-1031406-1044350	12945
chr1-1050496-1050863	368
chr1-1058209-1060805	2597
chr1-1061417-1064903	3487
chr1-1065473-1072772	7300
chr1-1073505-1075690	2186
chr1-1079280-1080567	1288
chr1-1081144-1082963	1820
chr1-1085292-1085613	322
chr1-1086654-1086659	6
chr1-1098663-1100182	1520
chr1-1104136-1104555	420
chr1-1115011-1118473	3463
chr1-1121177-1124087	2911
chr1-1134636-1138947	4312
chr1-1140810-1146832	6023
chr1-1149951-1150736	786
chr1-1156136-1161349	5214
chr1-1162345-1163597	1253
chr1-1165365-1172585	7221
chr1-1173115-1174478	1364
chr1-1175114-1175707	594
chr1-1179197-1181104	1908
chr1-1181646-1184172	2527
chr1-1189021-1189741	721
chr1-1197018-1201988	4971
chr1-1202681-1209670	6990
chr1-1210271-1220028	9758
chr1-1221728-1223045	1318
chr1-1227637-1228271	635
chr1-1228773-1228965	193
chr1-1230651-1244728	14078
chr1-1245493-1248050	2558
chr1-1250170-1251592	1423
chr1-1259896-1261551	1656
chr1-1270769-1271177	409
chr1-1272304-1275446	3143
chr1-1283907-1283946	40
chr1-1284659-1285987	1329
chr1-1287494-1287644	151
chr1-1290148-1290609	462
chr1-1291206-1295884	4679
chr1-1299072-1299347	276
chr1-1299916-1300509	594
chr1-1301873-1302667	795
chr1-1303221-1316444	13224
chr1-1318996-1322194	3199
chr1-1322872-1329280	6409
chr1-1330394-1334148	3755
chr1-1334702-1336854	2153
chr1-1337491-1338146	656
chr1-1342948-1350181	7234
chr1-1351473-1360609	9137
chr1-1361359-1361669	311
chr1-1370283-1377149	6867
chr1-1380624-1381248	625
chr1-1389737-1389910	174
chr1-1396153-1396646	494
